name,img,rating,review_count,short_desc,long_desc,coordinate,address,price,opening_times
Black Vinegar,https://ak-d.tripcdn.com/images/0103j12000mlhxjql942A.jpg,5.0,1,,,"10.770925, 106.69504","76 Le Lai 1st Floor, Ho Chi Minh City 700000 Vietnam",14.0,Mon to Sun：_11:30-15:00 _17:30-22:30 
Sushi Kei Landmark 81,https://ak-d.tripcdn.com/images/0104l12000o05yyvvD8D5.jpg,5.0,1,,,"10.7948272, 106.7220371","772 Dien Bien Phu Basement 1, Vincom Center Landmark 81, Ward 22, Binh Thanh, Ho Chi Minh City 700000 Vietnam",16.0,"Mon to Thur,Sun：_10:00-22:00 _Fri to Sat：_09:30-22:00 "
Com Xiu,https://ak-d.tripcdn.com/images/10061g000001h97jg4BDF.jpg,4.0,1,,,"10.771297, 106.6906",,0,Mon to Sun：_11:00-21:30 
IPPUDO Le Thanh Ton Japanese Ramen Restaurant,https://ak-d.tripcdn.com/images/0103u12000nvkjhhmE1E7.jpg,5.0,1,,,"10.779907, 106.7034","17/5 Lê Thánh Tôn, Bến Nghé, Quận 1, Hồ Chí Minh 700000, Vietnam",10.0,Mon to Sun：_11:00-23:00 
The Melbourne Cafe Restaurant,https://ak-d.tripcdn.com/images/0101k120008eenu154839.jpg,4.0,1,,,"10.765634, 106.69068",,0,Mon to Fri：_06:00-22:00 _Sat：_07:00-22:00 _Sun：_08:00-22:00 
Arcan,https://ak-d.tripcdn.com/images/0102o12000d3964lgF199.jpg,5.0,1,,,"10.797805, 106.7082301","29/2H Đ. Điện Biên Phủ, Phường 17, Bình Thạnh, Thành phố Hồ Chí Minh 700000",8.0,Fri to Sat：_22:00-5:00 
The ATM Cocktail Bar & Kitchen,https://ak-d.tripcdn.com/images/0102e12000jg56kes3EB0.jpg,4.6,5,,,"10.79039, 106.70159","27/10 Nguyen Binh Khiem Dakao Ward, District 1, Ho Chi Minh City 700000 Vietnam",5.0,Mon to Thur：_17:00-00:00 _Fri to Sat：_17:00-01:00 _Sun：_Closed all day 
Com Ga Ba Ngan - Hoi An Chinh Goc,https://ak-d.tripcdn.com/images//100t15000000xopmd9890.jpg,4.0,1,,,"10.786062, 106.64493","11 Road No. 4 Near Vinmart, Ni Su Huynh Lien, Ho Chi Minh City 700000 Vietnam",2.0,Mon to Sun：_09:00-22:00 
The Hidden Elephant Books & Coffee,https://ak-d.tripcdn.com/images/0102c120006puj8pa5778.jpg,4.0,1,,,"10.772408, 106.6972096","35 Phan Chu Trinh | Floor 2, Ben Thanh Ward, District 1, Ho Chi Minh City 700000, Vietnam",0,
agataJapan.cafe,https://ak-d.tripcdn.com/images/100g0o000000f723zAFF1.jpg,0.0,0,,,"10.7924419, 106.6907725","19 Dang Dung | Tan Dinh Ward, Ho Chi Minh City, Vietnam",4.0,Mon to Sun：_10:00-19:00 
Karen's Cafe,https://ak-d.tripcdn.com/images/100c0n000000egzohA960.jpg,0.0,0,,,"10.77374, 106.69735","25 Thu Khoa Huan | Ground Floor/First Floor, Ho Chi Minh City, Vietnam",3.0,Mon to Sun：_07:00-23:00 
Dosh,https://ak-d.tripcdn.com/images/1A04180000013ef3k26CF.jpg,0.0,1,,,"10.774012, 106.704163","42 Nguyen Hue 3rd Floor, District 1, Ho Chi Minh City Vietnam",2.0,Mon to Sun：_9:00-22:00 
Luna Sushi,https://ak-d.tripcdn.com/images/100o0o000000f5qnfB2B9.jpg,0.0,0,,,"10.778776, 106.69038","14a Hoa My Da Kao, District 1, Ho Chi Minh City Vietnam",25.0,Mon to Fri：_10:30-15:00 _16:30-22:30 _Sat to Sun：_11:00-15:00 _16:30-23:00 
Banh da cua Di Ly,https://ak-d.tripcdn.com/images/100m0o000000ffu8r24FD.jpg,0.0,0,,,"10.77504, 106.70422","103 Dong Khoi Street District 1 Diagonally opposite Sheraton Hotel, Ho Chi Minh City Vietnam",11.0,Mon to Sun：_08:00-22:00 
Gringo Tacos y Cantina,https://ak-d.tripcdn.com/images/100n0n000000dzf25FC82.jpg,0.0,0,,,"10.768887, 106.69827","137 Calmette District 1, Ho Chi Minh City 700000 Vietnam",5.0,Mon to Sun：_11:00-22:00 
Cha Ca Dong Kinh Restaurant,https://ak-d.tripcdn.com/images/10020n000000e7dexC840.jpg,0.0,0,,,"10.769428, 106.7029","87 Nguyen Cong Tru Street P. Nguyen Thai Binh. District 1, Ho Chi Minh City Vietnam",8.0,Mon to Sun：_10:00-22:00 
ICHIBAN Japanese Hotpot Buffet,https://ak-d.tripcdn.com/images/100s0o000000fd4o7CBEE.jpg,0.0,0,,,"10.803675, 106.66495","14A Phan Dinh Giot Street, Ward 2, Tan BInh District, Ho Chi Minh, Vietnam, Ho Chi Minh City 700000 Vietnam",12.0,Mon to Sun：_11:00-14:00 _17:00-22:00 
Ngo Saigon Street Cafe Restaurant,https://ak-d.tripcdn.com/images/100t0g0000007q5po33CA.jpg,0.0,0,,,"10.78198, 106.70598","70-72 Le Thanh Ton Street, District 1 B3-19B, VINCOM Center Shopping Mall, Ho Chi Minh City 70000 Vietnam",4.0,Mon to Sun：_10:00-21:30 
Dailo's Kitchen and Bar,https://ak-d.tripcdn.com/images/10040n000000ec12i69D4.jpg,0.0,0,,,"10.779222, 106.7058","No. 6, Thai Van Lung | End of Nguyen Sieu, Ho Chi Minh City 70000, Vietnam",18.0,Mon to Sun：_09:00-00:00 
Phuc Long Coffee & Tea Express,https://ak-d.tripcdn.com/images/10010g0000007q82x2449.jpg,0.0,0,,,"10.7747135, 106.7043115","29 Ngo Duc Ke Q 1, Ho Chi Minh City 700000",1.0,Mon to Sun：_7:00-22:30 
Chewy Junior,https://ak-d.tripcdn.com/images/0106u1200098dzx8o6B36.jpg,4.0,1,,,"10.76717, 106.69446","34 Tran Hung Dao Street, Ho Chi Minh City, Vietnam",26.0,Mon：_07:00-17:00 
Rita Võ Cafe,https://ak-d.tripcdn.com/images/1002050000000l695170D.jpg,0.0,0,,,"10.7603402, 106.683306","211 Nguyen Van Cu District 1, Ho Chi Minh City 70,000 Vietnam",0,Mon to Sun：_7:00-23:00 
Inter Nos Dining & Grill Restaurant,https://ak-d.tripcdn.com/images/10040o000000f5jsp4F10.jpg,0.0,0,,,"10.805304, 106.73402","26 Le Van Mien | Thao Dien ward, District 2, Ho Chi Minh City 700000, Vietnam",23.0,Mon to Sun：_11:00-23:00 
Bookmark Restaurant,https://ak-d.tripcdn.com/images/100w060000001n6x0E6A4.jpg,4.0,2,,,"10.7955477, 106.6770165","133A Nguyen Dinh Chinh Phu Nhuan District, Ho Chi Minh City 700000 Vietnam",24.0,Mon to Sun：_06:00-22:00 
